NU_INSCRICAO;NU_ANO;NO_MUNICIPIO_RESIDENCIA;CO_UF_RESIDENCIA;SG_UF_RESIDENCIA;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;NU_IDADE;TP_SEXO;CO_MUNICIPIO_NASCIMENTO;TP_ESCOLA;TP_ENSINO;TP_ESTADO_CIVIL;TP_COR_RACA;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TP_STATUS_REDACAO;NU_NOTA_REDACAO;Q001;Q002;Q005;Q006
1,50E+11;2015;Jacareí;35;SP;;;;19;M;3549904;1;;0;3;6924;7102;6277;7408;1;980;F;G;4;P
1,50E+11;2015;Frederico Westphalen;43;RS;;;;30;F;4309605;1;;0;1;6073;7034;6668;6671;1;980;C;B;3;K
1,50E+11;2015;Rio de Janeiro;33;RJ;;;;21;F;3304557;1;;0;1;6198;6761;6318;6682;1;960;D;D;3;D
1,50E+11;2015;Caxias;21;MA;;;;31;F;2109106;1;;0;1;6264;6687;5678;5741;1;940;B;B;6;E
1,50E+11;2015;Ipatinga;31;MG;;;;20;F;3106200;1;;0;3;7826;7747;6506;820;1;940;G;G;4;P
1,50E+11;2015;Rio de Janeiro;33;RJ;;;;19;F;3304557;1;;0;1;6942;7247;6632;7995;1;920;G;F;4;Q
1,50E+11;2015;Campos dos Goytacazes;33;RJ;;;;23;F;;1;;0;2;4589;5294;4269;3889;1;920;D;E;4;C
1,50E+11;2015;João Pessoa;25;PB;;;;35;M;3305109;1;;2;3;6317;6823;5909;7614;1;900;F;E;3;I
1,50E+11;2015;Belo Horizonte;31;MG;;;;18;M;3106200;1;;0;1;6294;7032;6412;7504;1;900;H;C;2;C
1,50E+11;2015;Porto Alegre;43;RS;;;;19;M;4314902;1;;0;1;6523;6829;6445;7233;1;900;F;G;3;I
1,50E+11;2015;São Paulo;35;SP;;;;20;F;3550308;1;;0;1;6559;7166;6709;569;1;900;E;E;3;K
1,50E+11;2015;Uberaba;31;MG;;;;25;F;3170107;1;;0;3;7338;7398;7122;7851;1;880;E;C;2;B
1,50E+11;2015;Goiânia;52;GO;;;;19;M;5208707;1;;0;1;6072;6225;5903;7187;1;880;D;E;5;E
1,50E+11;2015;São Paulo;35;SP;;;;16;F;3550308;1;;0;1;5079;6217;6513;5284;1;880;D;E;4;F
1,50E+11;2015;Belo Horizonte;31;MG;;;;20;F;3106200;1;;0;2;5043;6391;642;4811;1;880;E;C;3;G
1,50E+11;2015;Maceió;27;AL;;;;18;F;2704302;1;;0;1;6737;673;6005;751;1;880;G;G;5;O
1,50E+11;2015;Teresópolis;33;RJ;;;;19;F;3303906;1;;0;1;593;6512;5345;7341;1;860;E;G;4;K
1,50E+11;2015;Belo Horizonte;31;MG;;;;18;M;3106200;1;;0;3;6349;6744;6463;6739;1;860;D;E;4;O
1,50E+11;2015;São Francisco;31;MG;;;;25;F;3143302;1;;0;3;5803;6473;5995;5678;1;860;D;F;6;H
1,50E+11;2015;Recife;26;PE;;;;21;M;2611606;1;;0;1;6165;7108;6339;6524;1;840;F;E;1;D
1,50E+11;2015;Campinas;35;SP;;;;33;F;3509502;1;;1;1;6426;680;6099;6137;1;840;F;E;4;J
1,50E+11;2015;Itabaianinha;28;SE;;;;39;M;2803005;1;;1;3;5111;6632;5883;5828;1;840;C;B;4;G
1,50E+11;2015;Recife;26;PE;;;;24;F;2609006;1;;0;1;515;6634;5988;4052;1;840;E;G;2;A
1,50E+11;2015;Santa Cruz do Capibaribe;26;PE;;;;18;M;2612505;1;;0;3;4753;5111;5602;3464;1;840;B;E;6;D
1,50E+11;2015;Rio de Janeiro;33;RJ;;;;19;F;3304557;1;;0;3;5846;6183;5725;5792;1;820;E;E;4;C
1,50E+11;2015;Santa Rosa;43;RS;;;;18;M;4317202;1;;0;1;6588;6024;5827;753;1;820;F;F;3;O
